current_date,island,target_strong,target_candidate,lag1_strong,lag1_candidate,lag2_strong,lag2_candidate,lag3_strong,lag3_candidate,lag3_complete
2026-06-09,ネオアイム島③,0,0,0,0,0,0,0,0,1
2026-06-09,ネオアイム島④,0,0,0,0,0,0,1,1,1
2026-06-09,ネオアイム島⑤,0,0,0,0,0,0,0,0,1
2026-06-09,ハッピ島,0,0,0,1,0,0,0,0,1
2026-06-09,ファン島①,0,0,0,0,0,0,0,0,1
2026-06-09,ファン島②,0,0,0,0,0,0,0,0,1
2026-06-09,マイジャグ島A,0,0,0,0,0,0,0,0,1
2026-06-09,マイジャグ島B,0,0,0,0,0,0,0,0,1
2026-06-09,ミスタ島,1,1,0,0,0,0,0,0,1
2026-06-09,ミラクル島,0,0,0,0,0,0,0,0,1
2026-06-19,ガール島,0,0,0,0,0,0,1,1,1
2026-06-19,ゴー島①,0,0,0,0,0,0,0,0,1
2026-06-19,ゴー島②,0,0,0,0,0,0,0,0,1
2026-06-19,ネオアイム島①,0,0,0,1,0,0,0,0,1
2026-06-19,ネオアイム島②,0,0,0,0,0,0,0,0,1
2026-06-19,ネオアイム島③,0,0,0,0,0,0,0,0,1
2026-06-19,ネオアイム島④,1,1,0,0,0,0,0,0,1
2026-06-19,ネオアイム島⑤,0,0,0,0,0,0,0,0,1
2026-06-19,ハッピ島,0,0,0,0,0,1,0,0,1
2026-06-19,ファン島①,0,0,0,0,0,0,0,0,1
2026-06-19,ファン島②,0,0,0,0,0,0,0,0,1
2026-06-19,マイジャグ島A,0,0,0,0,0,0,0,0,1
2026-06-19,マイジャグ島B,0,0,0,0,0,0,0,0,1
2026-06-19,ミスタ島,0,0,1,1,0,0,0,0,1
2026-06-19,ミラクル島,0,0,0,0,0,0,0,0,1
2026-06-29,ガール島,0,0,0,0,0,0,0,0,1
2026-06-29,ゴー島①,0,0,0,0,0,0,0,0,1
2026-06-29,ゴー島②,0,1,0,0,0,0,0,0,1
2026-06-29,ネオアイム島①,0,0,0,0,0,1,0,0,1
2026-06-29,ネオアイム島②,0,0,0,0,0,0,0,0,1
2026-06-29,ネオアイム島③,0,0,0,0,0,0,0,0,1
2026-06-29,ネオアイム島④,0,0,1,1,0,0,0,0,1
2026-06-29,ネオアイム島⑤,0,1,0,0,0,0,0,0,1
2026-06-29,ハッピ島,0,0,0,0,0,0,0,1,1
2026-06-29,ファン島①,0,0,0,0,0,0,0,0,1
2026-06-29,ファン島②,0,0,0,0,0,0,0,0,1
2026-06-29,マイジャグ島A,0,0,0,0,0,0,0,0,1
2026-06-29,マイジャグ島B,0,0,0,0,0,0,0,0,1
2026-06-29,ミスタ島,0,1,0,0,1,1,0,0,1
2026-06-29,ミラクル島,0,0,0,0,0,0,0,0,1
2026-07-09,ガール島,0,0,0,0,0,0,0,0,1
2026-07-09,ゴー島①,0,0,0,0,0,0,0,0,1
2026-07-09,ゴー島②,1,1,0,1,0,0,0,0,1
2026-07-09,ネオアイム島①,0,0,0,0,0,0,0,1,1
2026-07-09,ネオアイム島②,0,1,0,0,0,0,0,0,1
2026-07-09,ネオアイム島③,0,0,0,0,0,0,0,0,1
2026-07-09,ネオアイム島④,0,0,0,0,1,1,0,0,1
2026-07-09,ネオアイム島⑤,0,0,0,1,0,0,0,0,1
2026-07-09,ハッピ島,0,0,0,0,0,0,0,0,1
2026-07-09,ファン島①,0,0,0,0,0,0,0,0,1
2026-07-09,ファン島②,0,0,0,0,0,0,0,0,1
2026-07-09,マイジャグ島A,0,0,0,0,0,0,0,0,1
2026-07-09,マイジャグ島B,0,0,0,0,0,0,0,0,1
2026-07-09,ミスタ島,0,0,0,1,0,0,1,1,1
2026-07-09,ミラクル島,0,0,0,0,0,0,0,0,1
2026-07-19,ガール島,0,0,0,0,0,0,0,0,1
2026-07-19,ゴー島①,0,0,0,0,0,0,0,0,1
2026-07-19,ゴー島②,0,0,1,1,0,1,0,0,1
2026-07-19,ネオアイム島①,0,0,0,0,0,0,0,0,1
2026-07-19,ネオアイム島②,0,1,0,1,0,0,0,0,1
2026-07-19,ネオアイム島③,0,0,0,0,0,0,0,0,1
2026-07-19,ネオアイム島④,0,0,0,0,0,0,1,1,1
2026-07-19,ネオアイム島⑤,1,1,0,0,0,1,0,0,1
2026-07-19,ハッピ島,1,1,0,0,0,0,0,0,1
2026-07-19,ファン島①,0,1,0,0,0,0,0,0,1
2026-07-19,ファン島②,0,0,0,0,0,0,0,0,1
2026-07-19,マイジャグ島A,0,0,0,0,0,0,0,0,1
2026-07-19,マイジャグ島B,0,0,0,0,0,0,0,0,1
2026-07-19,ミスタ島,1,1,0,0,0,1,0,0,1
2026-07-19,ミラクル島,0,0,0,0,0,0,0,0,1
2026-07-29,ガール島,0,0,0,0,0,0,0,0,1
2026-07-29,ゴー島①,0,0,0,0,0,0,0,0,1
2026-07-29,ゴー島②,0,0,0,0,1,1,0,1,1
2026-07-29,ネオアイム島①,0,0,0,0,0,0,0,0,1
2026-07-29,ネオアイム島②,0,1,0,1,0,1,0,0,1
2026-07-29,ネオアイム島③,0,0,0,0,0,0,0,0,1
2026-07-29,ネオアイム島④,0,0,0,0,0,0,0,0,1
2026-07-29,ネオアイム島⑤,0,0,1,1,0,0,0,1,1
2026-07-29,ハッピ島,0,1,1,1,0,0,0,0,1
2026-07-29,ファン島①,0,0,0,1,0,0,0,0,1
2026-07-29,ファン島②,0,0,0,0,0,0,0,0,1
2026-07-29,マイジャグ島A,0,0,0,0,0,0,0,0,1
2026-07-29,マイジャグ島B,0,0,0,0,0,0,0,0,1
2026-07-29,ミスタ島,0,0,1,1,0,0,0,1,1
2026-07-29,ミラクル島,0,0,0,0,0,0,0,0,1
2026-08-09,ガール島,1,1,0,0,0,0,0,0,1
2026-08-09,ゴー島①,0,0,0,0,0,0,0,0,1
2026-08-09,ゴー島②,0,0,0,0,0,0,1,1,1
2026-08-09,ネオアイム島①,0,0,0,0,0,0,0,0,1
2026-08-09,ネオアイム島②,0,0,0,1,0,1,0,1,1
